id,name,parent_uuid,tag,uuid
2374,Isiolo South,1615de97-79e1-48f0-a981-66a15c0efe8c,Sub County,c08d6748-f925-4291-b643-1b1217f3d0b7
2375,Garba Tulla,c08d6748-f925-4291-b643-1b1217f3d0b7,Ward,00dc1d08-b211-4f38-8256-5461b748541b
2384,Kinna,c08d6748-f925-4291-b643-1b1217f3d0b7,Ward,f90b5693-6f5b-42f7-8c89-dd0d19e37f6b
2391,Sericho,c08d6748-f925-4291-b643-1b1217f3d0b7,Ward,698cd824-818f-48ea-8243-5f51628d8c89
2398,Gatundu North,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,fc79a191-4f0d-4f34-8f6e-976b0bcfd627
2399,Chania,fc79a191-4f0d-4f34-8f6e-976b0bcfd627,Ward,ec078200-e618-471d-af53-01a47579c7d0
2402,Githobokoni,fc79a191-4f0d-4f34-8f6e-976b0bcfd627,Ward,5cefad79-10e2-43a6-ba87-09e1f08d7eda
2411,Gituamba,fc79a191-4f0d-4f34-8f6e-976b0bcfd627,Ward,e07f6c24-f603-4b19-be58-9dbd5d0462aa
2416,Mang'u,fc79a191-4f0d-4f34-8f6e-976b0bcfd627,Ward,df8babfc-bb23-4b8e-aace-b351f81dca9f
2427,Gatundu South,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,8a9734ca-42a3-4253-880c-1c1db4bd95fc
2428,Kiamwangi,8a9734ca-42a3-4253-880c-1c1db4bd95fc,Ward,4e3e5345-8de4-4d6f-a5b0-23472dd6b3e4
2434,Kiganjo,8a9734ca-42a3-4253-880c-1c1db4bd95fc,Ward,e13960ab-5404-462e-b953-98fdacf52032
2443,Ndarugu,8a9734ca-42a3-4253-880c-1c1db4bd95fc,Ward,c16ec6f5-7f8d-4762-a4cf-cf0b1c5113da
2451,Ngenda,8a9734ca-42a3-4253-880c-1c1db4bd95fc,Ward,11e382b9-edda-4a84-a361-02596662198a
2461,Githunguri,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,bebb0f81-f2c7-4c62-a68e-e6b41c740f0e
2462,Githiga,bebb0f81-f2c7-4c62-a68e-e6b41c740f0e,Ward,25acecc6-0686-4684-a306-7624d95abc64
2467,Githunguri ward,bebb0f81-f2c7-4c62-a68e-e6b41c740f0e,Ward,9b273d9f-d9ba-4885-b444-0daf6a4fc5a8
2481,Ikinu,bebb0f81-f2c7-4c62-a68e-e6b41c740f0e,Ward,ded98706-da23-4f96-b500-bf7d27fe2857
2488,Komothai,bebb0f81-f2c7-4c62-a68e-e6b41c740f0e,Ward,b5485643-928a-44d1-9ec3-f4677c05fbd7
2499,Ngewa,bebb0f81-f2c7-4c62-a68e-e6b41c740f0e,Ward,3fb1d797-a349-4bf4-98a1-9c3c420df54d
2508,Juja,8b6f9787-0aef-4512-8fd5-9a19ac3ed788,Sub County,21d18f87-936f-4b1b-bc63-f7bc9c8b2f36
2509,Juja ward,21d18f87-936f-4b1b-bc63-f7bc9c8b2f36,Ward,d0d0d663-c7f4-4e8c-9ca9-6e44f138e4cf
2536,Kalimoni,21d18f87-936f-4b1b-bc63-f7bc9c8b2f36,Ward,f8f407fb-35fd-4368-9449-ed1dfa436be4
2555,Murera,21d18f87-936f-4b1b-bc63-f7bc9c8b2f36,Ward,4fb399d6-d47e-42a3-85cc-9c57e29025b7
